countryName,countryCode,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
Madagascar,MDG,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.27
Malawi,MWI,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.28,0.28,0.28,0.28,0.28,0.28
Malaysia,MYS,0.48,0.48,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52
Mali,MLI,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.21,0.21,0.21,0.21,0.21,0.21
Malta,MLT,0.59,0.59,0.6,0.6,0.6,0.62,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.63,0.63
Mauritania,MRT,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.25,0.25,0.25,0.25,0.25,0.25
Mauritius,MUS,0.47,0.47,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.54,0.54,0.54,0.54,0.54,0.54
Mexico,MEX,0.5,0.5,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.54
Moldova,MDA,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.5,0.5,0.5,0.5,0.5,0.5
Mongolia,MNG,0.41,0.41,0.42,0.42,0.42,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5
Morocco,MAR,0.33,0.33,0.35,0.35,0.35,0.37,0.37,0.37,0.37,0.37,0.42,0.42,0.42,0.42,0.42,0.42
Mozambique,MOZ,0.21,0.21,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.28,0.28,0.28,0.28,0.28,0.28
Myanmar,MMR,0.31,0.31,0.34,0.34,0.34,0.36,0.36,0.36,0.36,0.36,0.39,0.39,0.39,0.39,0.39,0.39
Namibia,NAM,0.35,0.35,0.35,0.35,0.35,0.38,0.38,0.38,0.38,0.38,0.41,0.41,0.41,0.41,0.41,0.41
Nepal,NPL,0.27,0.27,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.31,0.34,0.34,0.34,0.34,0.34,0.34
Netherlands,NLD,0.79,0.79,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86
New Zealand,NZL,0.8,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.86,0.86,0.86,0.86,0.86,0.86
Nicaragua,NIC,0.38,0.38,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.42
Niger,NER,0.12,0.12,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.17,0.17,0.17,0.17,0.17,0.17
Nigeria,NGA,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.26,0.26,0.26,0.26,0.26
North Macedonia,MKD,0.48,0.48,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.51,0.51,0.51,0.51,0.51,0.51
Norway,NOR,0.82,0.82,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84
Oman,OMN,0.44,0.44,0.47,0.47,0.47,0.49,0.49,0.49,0.49,0.49,0.53,0.53,0.53,0.53,0.53,0.53
Pakistan,PAK,0.26,0.26,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
Panama,PAN,0.51,0.51,0.52,0.52,0.52,0.54,0.54,0.54,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57
Paraguay,PRY,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.46,0.46,0.46,0.48,0.48,0.48,0.48,0.48,0.48
Peru,PER,0.47,0.47,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.53,0.53,0.53,0.53,0.53,0.53
Philippines,PHL,0.46,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46
Poland,POL,0.6,0.6,0.61,0.61,0.61,0.63,0.63,0.63,0.63,0.63,0.67,0.67,0.67,0.67,0.67,0.67
Portugal,PRT,0.63,0.63,0.64,0.64,0.64,0.66,0.66,0.66,0.66,0.66,0.75,0.75,0.75,0.75,0.75,0.75
Puerto Rico,PRI,0.63,0.63,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.64,0.62,0.62,0.62,0.62,0.62,0.62
Qatar,QAT,0.5,0.5,0.5,0.5,0.5,0.52,0.52,0.52,0.52,0.52,0.63,0.63,0.63,0.63,0.63,0.63
Romania,ROU,0.49,0.49,0.51,0.51,0.51,0.54,0.54,0.54,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57
Russia,RUS,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.57,0.57,0.57,0.57,0.57,0.57
Rwanda,RWA,0.22,0.22,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.33,0.33,0.33,0.33,0.33,0.33
Saint Kitts and Nevis,KNA,0.52,0.52,0.52,0.52,0.52,0.55,0.55,0.55,0.55,0.55,0.59,0.59,0.59,0.59,0.59,0.59
Saint Vincent and the Grenadines,VCT,0.52,0.52,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.55,0.55,0.55,0.55,0.55,0.55
Saudi Arabia,SAU,0.46,0.46,0.48,0.48,0.48,0.52,0.52,0.52,0.52,0.52,0.5,0.5,0.5,0.5,0.5,0.5
